Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-LG-001-100070-001;MULTIPACK - KARDEX;PLPA
PLPA-LG-001-100070-002;KINDER JOY/NUTELLA - KARDEX;PLPA
PLPA-LG-001-100070-003;KB2 - HANEL;PLPA
PLPA-LG-001-100070-004;FC - HANEL;PLPA
PLPA-LG-001-100080;Wózki autonomiczne AGV;PLPA
PLPA-LG-001-100080-001;Wózki autonomiczne AGV;PLPA
PLPA-LG-001-100090;Urządzenia dźwigowe;PLPA
PLPA-LG-001-100090-001;Wciągniki;PLPA
PLPA-LG-001-100090-002;Dźwigi;PLPA
PLPA-LG-001-100100;Pojazdy - transport wewnętrzny;PLPA
PLPA-LG-001-100100-001;TIP/TEMA;PLPA
PLPA-LG-001-100100-002;AST;PLPA
PLPA-LG-002;Obsługa wózków widłowch;PLPA
PLPA-LG-002-200000;Obsługa wózków widłowych HUB;PLPA
PLPA-LG-002-200000-001;Serwis wózków widłowych HUB;PLPA
PLPA-LG-002-200000-002;Wynajem wózków widłowych HUB;PLPA
PLPA-LG-002-200000-003;Części zamiene wózków widłowych HUB;PLPA
PLPA-LG-002-300000;Obsługa wózków widłowych Mag. opakowań;PLPA
PLPA-LG-002-300000-001;Serwis wózków widłowych Mag. Opakowań;PLPA
PLPA-LG-002-300000-002;Wynajem wózków widłowych Mag. Opakowań;PLPA
PLPA-LG-002-300000-003;Części zamiene wózków widłowych Mag. Opa;PLPA
PLPA-LG-002-400000;;PLPA
PLPA-LG-002-400000-001;Serwis wózków widłowych Mag. Wyr. Gotowy;PLPA
PLPA-LG-002-400000-002;Wynajem wózków widłowych Mag. Wyr. Gotow;PLPA
PLPA-LG-002-400000-003;Części zamiene wózków widłowych Mag. Got;PLPA
PLPA-LG-002-500000;Obsługa wózków widłowych Mag. Surowców;PLPA
PLPA-LG-002-500000-001;Serwis wózków widłowych Mag Surowców;PLPA
PLPA-LG-002-500000-002;Wynajem wózków widłowych Mag. Surowców;PLPA
PLPA-LG-002-500000-003;Części zamiene wózków widłowych Mag Suro;PLPA
PLPA-LG-002-600000;Obsługa wózków widłowych Mag. chemiczny;PLPA
PLPA-LG-002-600000-001;Obsługa wózków widłowych Mag. chemiczny;PLPA
PLPA-LG-010;Magazyn Surowców;PLPA
PLPA-LG-020;Magazyn Opakowań;PLPA
