Lokaliz. funkc.;Oznaczenie;Zakład planow.
PLPA-PR-031-011445-003;KB2 Pakowanie;PLPA
PLPA-PR-031-011445-004;KB2 Pakowanie T6;PLPA
PLPA-PR-031-011445-005;KB T8 Bottiglio;PLPA
PLPA-PR-031-011445-006;MINI Modelowanie;PLPA
PLPA-PR-031-011445-007;MINI Pakowanie;PLPA
PLPA-PR-031-011445-008;KB MINI Modelowanie Linia 2;PLPA
PLPA-PR-031-011445-009;KB MINI Pakowanie Linia 2;PLPA
PLPA-PR-031-011445-010;KB MINI Pakowanie Linia 3;PLPA
PLPA-PR-031-011445-011;KB2 Urządzenia przygotowania półproduktu;PLPA
PLPA-PR-031-011445-012;KB2 Paletyzacja WIKPOL;PLPA
PLPA-PR-031-011445-013;KB MINI T20;PLPA
PLPA-PR-031-011543;KBW 2;PLPA
PLPA-PR-031-011543-001;KBW2 Piece Nawilżacze Cięcie;PLPA
PLPA-PR-031-011543-002;KBW2 Modelowanie;PLPA
PLPA-PR-031-011543-003;KBW2 Pakowanie;PLPA
PLPA-PR-031-011543-004;KBW2 Carton Case;PLPA
PLPA-PR-031-011543-005;KBW2 T2x20;PLPA
PLPA-PR-031-011545;KB 3;PLPA
PLPA-PR-031-011545-001;KB3 Piece Nawilżacze Cięcie;PLPA
PLPA-PR-031-011545-002;KB3 Modelowanie;PLPA
PLPA-PR-031-011545-003;KB3 Pakowanie;PLPA
PLPA-PR-031-011545-004;KB3 Multipack;PLPA
PLPA-PR-031-011545-005;KB3 Paletyzacja WIKPOL;PLPA
PLPA-PR-031-011546;KB MINI 2;PLPA
PLPA-PR-031-011546-001;MINI 2 Modelowanie;PLPA
PLPA-PR-031-011546-002;MINI 2 Pakowanie;PLPA
PLPA-PR-031-011546-003;MINI 2 Urządzenia przygotowania półprod.;PLPA
PLPA-PR-031-011546-004;KB MINI 2 PIEC;PLPA
PLPA-PR-031-011546-005;KB MINI MAIN MODELATOR;PLPA
PLPA-PR-031-090001;Obsługa wózków widłowych UGP4;PLPA
PLPA-PR-031-090001-001;Serwis wózków widłowych UGP4;PLPA
PLPA-PR-031-090001-002;Wynajem wózków widłowych UGP4;PLPA
PLPA-PR-031-090001-003;Części zamienne wózków widłowych UGP4;PLPA
PLPA-PR-041;(NIE UŻYWAĆ) CLA CUB STEL WORK;PLPA
PLPA-PR-041-026565;Manual prod.-External suppl (usunąć);PLPA
PLPA-PR-041-026565-001;Cubetti parts and services Contolavoro;PLPA
PLPA-PR-041-026565-002;Stelline parts and services Contolavoro;PLPA
PLPA-PR-041-026565-003;Robocizna Conto Lavoro;PLPA
PLPA-PR-041-026565-004;Kinder Joy T2 box;PLPA
PLPA-PR-041-026565-005;MANUAL CO-PACK ŁOWICZ (Partners) 1;PLPA
PLPA-PR-041-026565-006;MANUAL CO-PACK ŁOWICZ (Partners) 2;PLPA
PLPA-PR-041-026565-007;MANUAL SURPRISE MIX RAWA MAZOW (Partner);PLPA
PLPA-PR-041-026565-008;MANUAL CO-PACK ŻABIA WOLA (Logipack);PLPA
PLPA-PR-041-026565-009;MANUAL CO-PACK BELSK (Logipack);PLPA
PLPA-PR-041-026565-010;CO-PACK ODRZYWOŁEK (Leasingteam) TT -T4;PLPA
PLPA-PR-041-026565-011;CO-PACK ODRZYWOŁEK (Leasingteam) KS MIX;PLPA
PLPA-PR-041-026565-012;MANUAL CO-PACK LUBLIN (Plasticx);PLPA
PLPA-PR-041-026565-013;Calendar G235 Belsk;PLPA
PLPA-PR-041-026565-014;CO-PACK ODRZYWOŁEK (Leasingteam) MIX Pal;PLPA
PLPA-PR-041-026565-101;Linia pakowania  1/4 paletki;PLPA
PLPA-PR-041-026566;Zablokowany!!! (usunąć);PLPA
PLPA-PR-041-026566-001;Serwis wózków widłowych CLA;PLPA
PLPA-PR-041-026566-002;Wynajem wózków widłowych CLA;PLPA
PLPA-PR-041-026566-003;Części zamiene wózków widłowych CLA;PLPA
PLPA-PR-041-026567;Obsługa wózków widłowych CLA;PLPA
PLPA-PR-041-026567-001;Serwis wózków widłowych CLA;PLPA
PLPA-PR-041-026567-101;Linia Kalendarza G234 -House 3D;PLPA
PLPA-PR-041-026568;Łowicz_Contolavoro;PLPA
PLPA-PR-041-026569-101;Linia Kalendarzy KS T24/ G329;PLPA
PLPA-PR-041-026570-101;Manual line 1 - PELUCHE;PLPA
PLPA-PR-041-026571-101;Manual line 2 - PELUCHE;PLPA
PLPA-PR-041-026572-101;Manual line  - KJ / KS;PLPA
PLPA-PR-041-026572-102;Linia KS T3 Travel Lui do usunięcia;PLPA
PLPA-PR-041-026573-101;Manual line 02  (Raff T20) do usunięcia;PLPA
PLPA-PR-041-026573-102;Linia BUNNY HOUSE 155G EASTER;PLPA
PLPA-PR-041-026575-101;TINS LINE;PLPA
PLPA-PR-041-026590-101;Pralines STELLA;PLPA
PLPA-PR-041-026590-102;Stella line 02;PLPA
PLPA-PR-041-026590-103;Stella line 03;PLPA
PLPA-PR-041-026590-104;Stella line 04;PLPA
PLPA-PR-041-026590-105;Stella line 05;PLPA
PLPA-PR-041-026591-101;Pralines CUBOTTO;PLPA
PLPA-PR-041-026591-102;Cubotto line 02;PLPA
PLPA-PR-041-026591-103;Cubotto line 03;PLPA
PLPA-PR-041-026591-104;Cubotto line 04;PLPA
PLPA-PR-041-026591-105;Cubotto line Clipper TC 106/30;PLPA
PLPA-PR-041-026591-106;Manual line 01 (serca puszki);PLPA
PLPA-PR-041-026591-107;JBF Machines;PLPA
PLPA-PR-041-026592-101;Linia Deco Item 00- do zamkniecia;PLPA
PLPA-PR-041-026592-102;Linia mimi eggs;PLPA
PLPA-PR-041-026594-101;CAL DBS T27;PLPA
PLPA-PR-041-026595-101;Manual line  (DBS T8/RAF TUBO);PLPA
PLPA-PR-041-026596-101;Manual line05;PLPA
PLPA-PR-041-026596-102;Manual line 08;PLPA
PLPA-PR-041-026597-101;Manual line cal. dibesten domek;PLPA
PLPA-PR-041-026598-101;PRALINES HANGABLE TINS;PLPA
PLPA-PR-041-026598-102;Linia Hangable Tin 02 - do skasowania;PLPA
PLPA-PR-041-026694-101;Prestige line;PLPA
PLPA-PR-041-026695-101;Peluche line G133;PLPA
PLPA-PR-041-026696-101;Linia ADVENT CALENDAR POP-UP T24;PLPA
PLPA-PR-041-026699-101;CAL KINDER TRAIN G221;PLPA
PLPA-PR-041-026700-101;xxxxxx;PLPA
PLPA-PR-041-026701-101;Big egg;PLPA
PLPA-PR-041-026702-101;Linia Big Egs;PLPA
PLPA-PR-041-036565;Żabia Wola_Contolavoro;PLPA
PLPA-PR-041-036565-101;Manual line 01;PLPA
PLPA-PR-041-036565-102;Manual line 02;PLPA
PLPA-PR-041-036565-103;Manual line 03;PLPA
PLPA-PR-041-056565;HUB_Contolavoro;PLPA
PLPA-PR-041-056565-101;Linia pakowania  1/4 paletki;PLPA
PLPA-PR-041-056565-102;Manual line 01;PLPA
PLPA-PR-041-056565-103;Manual line 02 -Tavolette;PLPA
PLPA-PR-041-066565-112;Manual co-packing Tavolette;PLPA
PLPA-PR-041-066566-104;"Line MIX "" T - 00 """;PLPA
PLPA-PR-041-066566-105;"Line MIX "" T -2,5 """;PLPA
PLPA-PR-041-066567;Odrzywolek_Contalavoro;PLPA
PLPA-PR-041-066567-101;Manual lines 01;PLPA
PLPA-PR-041-066567-102;Manual lines 02;PLPA
PLPA-PR-041-066567-103;Manual lines 03;PLPA
PLPA-PR-041-066567-106;Line MIX 1/4 palet;PLPA
PLPA-PR-041-066567-107;Welding film/Weight;PLPA
PLPA-PR-041-066567-110;Linia Kinder Mix G96;PLPA
PLPA-PR-041-066567-111;Linia Kinder MIX G198 Bucket/Santa Tin;PLPA
PLPA-PR-041-066568-109;Linia Kinderino G131;PLPA
PLPA-PR-041-066569-113;Linia KINDER JOY T2;PLPA
PLPA-PR-041-066569-114;Linia KS T6 Minions;PLPA
PLPA-PR-041-066570-108;Linia K&F Happy Snack Calendar 295g;PLPA
PLPA-PR-041-076566;Lublin_Contalavoro;PLPA
PLPA-PR-041-076566-101;Linia Kalendarzy G149/G203;PLPA
PLPA-PR-041-076566-102;Linia Kalendarzy G236/G351;PLPA
PLPA-PR-041-076566-103;Linia Kalendarza G404;PLPA
PLPA-PR-041-076567-102;Linia Kalendarzy G236/G351;PLPA
PLPA-PR-041-076568-103;Linia Kalendarza G404;PLPA
PLPA-PR-051;(NIEAKTYWNY);PLPA
PLPA-PR-051-013000-005;NU Bready packingT2 automatic;PLPA
PLPA-PR-051-090001;Obsługa wózków widłowych UGP5;PLPA
PLPA-PR-051-090001-001;Serwis wózków widłowych UGP5;PLPA
PLPA-PR-051-090001-002;Wynajem wózków widłowych UGP5;PLPA
PLPA-PR-051-090001-003;Części zamienne wózków widłowych UGP5;PLPA
PLPA-PR-U05;TEST;PLPA
PLPA-PR-U05-011312;(NIE UŻYWAĆ) UGP5 B-READY, CARDS;PLPA
PLPA-PR-U05-011312-001;B-ready Preparacja;PLPA
PLPA-PR-U05-011312-002;B-Ready Modelator;PLPA
PLPA-PR-U05-011312-003;B-Ready Pakowanie;PLPA
PLPA-PR-U05-011312-004;B-Ready/Cards Pompy próżniowe;PLPA
PLPA-PR-U05-011312-005;Kinder Cards  Preparacja;PLPA
PLPA-PR-U05-011312-006;Kinder Cards Preparacja;PLPA
PLPA-PR-U05-011312-007;Kinder Cards Modelator;PLPA
PLPA-PR-U05-011312-008;Kinder Cards Pakowanie;PLPA
PLPA-PR-U05-011312-009;System zasysania pyłu waflowego;PLPA
PLPA-PR-U05-011312-010;Z-RCHIWUM UGP5;PLPA
PLPA-PR-U05-013000;B-ready Preparacja;PLPA
PLPA-PR-U05-013000-001;bredy preparacja;PLPA
PLPA-PR-U05-013001;TEST 1;PLPA
PLPA-PR-U05-013001-001;TEST 2;PLPA
PLPA-PR-U05-013001-002;TEST 3;PLPA
PLPA-PR-U05-013001-003;TEST 4;PLPA
PLPA-PR-U05-090001;Obsługa wózków widłowych UGP5;PLPA
PLPA-PR-U06;(NIE UŻYWAĆ) UGP6 ROCHER, TABLETS;PLPA
PLPA-PR-U06-010174;ROCHER;PLPA
PLPA-PR-U06-010174-003;RO Modelator Ceda;PLPA
PLPA-PR-U06-010174-004;FCR Formy UOVO 105G;PLPA
PLPA-PR-U06-014000;TABLETS;PLPA
PLPA-PR-U06-014000-001;TABLETS Creams;PLPA
PLPA-PR-U06-014000-002;TABLETS Modelator;PLPA
PLPA-PR-U06-014000-003;TABLETS Pakowanie;PLPA
PLPA-PR-U11;UGP11 RAFFAELLO;PLPA
PLPA-PR-U11-010703;RAFFAELLO LINIA 2;PLPA
PLPA-PR-U11-010703-001;PIECE Z NAWILŻACZAMI RAFFAELLO;PLPA
PLPA-PR-U11-010703-002;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA
PLPA-PR-U11-010703-003;MODELATOR RAFFAELLO;PLPA
PLPA-PR-U11-010703-004;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA
PLPA-PR-U11-010703-005;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA
PLPA-PR-U11-010703-006;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA
PLPA-PR-U11-010703-007;LINIA WAŻĄCO-PAKUJĄCA 9(VRAC)RAFFAELLO;PLPA
PLPA-PR-U11-010709;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA
PLPA-PR-U11-010716;LINIA WAŻĄCO-PAKUJĄCA 7 RAFFAELLO;PLPA
PLPA-PR-U11-010717;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA
PLPA-PR-U11-010718;LINIA WAŻĄCO-PAKUJĄCA 8 RAFFAELLO;PLPA
PLPA-PR-U11-010719;LINIA WAŻĄCO-PAKUJĄCA 10 T45 L.19 RAFFAE;PLPA
PLPA-PR-U11-010721;LINIA WAŻĄCO-PAKUJĄCA 11 T8 L.21 RAFFAEL;PLPA
PLPA-PR-U11-010796;LINIA ROZDRABNIANIA WIÓRKA;PLPA
PLPA-PR-U12;UGP12 NUTELLA B-READY+KINDER CARDS;PLPA
PLPA-PR-U12-010801;KINDER CARDS;PLPA
PLPA-PR-U12-010801-001;KINDER CARDS PREPARACJA;PLPA
PLPA-PR-U12-010801-002;KINDER CARDS MODELATOR;PLPA
PLPA-PR-U12-010801-003;KINDER CARDS PAKOWANIE;PLPA
PLPA-PR-U12-011312;NUTELLA B-READY;PLPA
PLPA-PR-U12-011312-001;NUTELLA B-READY PREPARACJA;PLPA
PLPA-PR-U12-011312-002;NUTELLA B-READY MODELATOR;PLPA
PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;PLPA
PLPA-PR-U12-011312-004;NUTELLA B-READY PAKOWANIE T2 AUTOMAT;PLPA
PLPA-PR-U13;UGP13 TABLETS+ROCHER FIGURES;PLPA
PLPA-PR-U13-010175;IFCR PAKOWNIE WIEWIÓRKA/BAŁWAN/JAJKO;PLPA
PLPA-PR-U13-010176;FCR PAKOWANIE ZAJĄC G100 GR7;PLPA
PLPA-PR-U13-010177;FC ROCHER(MODELATOR&PAKOWANIE)NEW;PLPA
PLPA-PR-U13-010177-001;FCR/GF RO MODELATOR BUHLER;PLPA
PLPA-PR-U13-010177-002;GF RO PAKOWANIE BUHLER;PLPA
PLPA-PR-U13-010177-003;FORMY WIEWIÓRKI;PLPA
PLPA-PR-U13-010177-004;FORMY WIEWIÓRKI;PLPA
PLPA-PR-U13-010178;FC ROCHER(MODELATOR&PAKOWANIE)OLD;PLPA
PLPA-PR-U13-010178-001;GF RO FORMY G190;PLPA
PLPA-PR-U13-010178-002;GF RO PAKOWANIE CEDA;PLPA
PLPA-PR-U13-010178-003;FCR UOVO FORMY;PLPA
PLPA-PR-U13-010178-004;FORMY BAŁWAN;PLPA
PLPA-PR-U13-010178-005;FC RO FORMY KRÓLIK 108GR;PLPA
PLPA-PR-U13-010178-006;GF RO/FCR MODELATOR CEDA;PLPA
PLPA-PR-U13-010401;TABLETS;PLPA
PLPA-PR-U13-010401-001;TABLETS Creams;PLPA
PLPA-PR-U13-010401-002;TABLETS Modelator;PLPA
PLPA-PR-U13-010401-003;TABLETS Pakowanie;PLPA
PLPA-PR-U21;UGP21 K SURPRISE + FIGURA CAVA;PLPA
PLPA-PR-U21-010121;KINDER SURPRISE;PLPA
PLPA-PR-U21-010121-001;KS MODELATOR;PLPA
PLPA-PR-U21-010121-002;KS KARTONIARKI ZAMBELLI T36/T72 1;PLPA
PLPA-PR-U21-010121-003;KS LINIA PAKOWANIA GR-07 1;PLPA
PLPA-PR-U21-010121-004;FC FORMY BIRILLONE G140 (NIE LOGOWAĆ);PLPA
PLPA-PR-U21-010121-005;FC FORMY CUORE G35 (NIE LOGOWAĆ);PLPA
PLPA-PR-U21-010121-006;FC FORMY YUPPIEMAN G35 (NIE LOGOWAĆ);PLPA
PLPA-PR-U21-010121-007;KS Urządzenia przygotowania półproduktu;PLPA
PLPA-PR-U21-010121-008;KS Strefa transportu niespodzianek;PLPA
PLPA-PR-U21-010121-012;KS KARTONIARKI ZAMBELLI T36/T72 2;PLPA
PLPA-PR-U21-010121-013;KS LINIA PAKOWANIA GR-07 2;PLPA
PLPA-PR-U21-010121-022;KS KARTONIARKI ZAMBELLI T36/T72 3;PLPA
PLPA-PR-U21-010121-023;KS LINIA PAKOWANIA GR-07 3;PLPA
PLPA-PR-U21-010121-032;KS KARTONIARKI ZAMBELLI T36/T72 4;PLPA
PLPA-PR-U21-010121-033;KS LINIA PAKOWANIA GR-07 4;PLPA
PLPA-PR-U21-010121-043;KS LINIA PAKOWANIA GR-07 5;PLPA
PLPA-PR-U21-010121-053;KS LINIA PAKOWANIA GR-07 6;PLPA
PLPA-PR-U21-010121-063;KS LINIA PAKOWANIA GR-07 7;PLPA
PLPA-PR-U21-010121-073;KS LINIA PAKOWANIA GR-07 8;PLPA
PLPA-PR-U21-010122;KS CZYSZCZENIE NIESPODZIANEK;PLPA
PLPA-PR-U21-010122-001;KS CZYSZCZENIE NIESPODZIANEK;PLPA
PLPA-PR-U21-010123;FIGURA CAVA;PLPA
PLPA-PR-U21-010123-001;FC FORMY G75;PLPA
PLPA-PR-U21-010123-002;FC MODELATOR AASTED;PLPA
PLPA-PR-U21-010123-003;FC FORMY G110;PLPA
PLPA-PR-U21-010123-004;FC FORMY G160;PLPA
PLPA-PR-U21-010123-005;FC FORMY G138;PLPA
PLPA-PR-U21-010123-006;FC FORMY G55;PLPA
PLPA-PR-U21-010123-007;FC Urządzenia przygotowania półproduktu;PLPA
PLPA-PR-U21-010125;KS PAKOWANIE IKI;PLPA
PLPA-PR-U21-010125-001;KS PAKOWANIE IKI;PLPA
PLPA-PR-U21-010127;FC PAKOWANIE GR-08 CUORE G53;PLPA
PLPA-PR-U21-010127-001;FC PAKOWANIE GR-08 CUORE G53;PLPA
PLPA-PR-U21-010129;FC PAKOWANIE GR-08 YUPPIEMAN G35;PLPA
PLPA-PR-U21-010129-001;FC PAKOWANIE GR-08 YUPPIEMAN G35;PLPA
PLPA-PR-U21-010165;FC MODELATOR OPM;PLPA
PLPA-PR-U21-010165-001;FC MODELATOR OPM;PLPA
PLPA-PR-U21-010165-002;FC FORMY G15;PLPA
PLPA-PR-U21-010165-003;FC FORMY G36;PLPA
PLPA-PR-U21-010165-004;FC PAKOWANIE GR-08 BIRILLO G36 1;PLPA
PLPA-PR-U21-010165-005;FC PAKOWANIE GR-08 BIRILLO G36 2;PLPA
PLPA-PR-U21-010169;FC PAKOWANIE IFC T110;PLPA
PLPA-PR-U21-010169-001;FC PAKOWANIE IFC T110 1;PLPA
PLPA-PR-U21-010169-002;FC PAKOWANIE IFC T110 2;PLPA
PLPA-PR-U21-010170;FC PAKOWANIE CHOCAL T160;PLPA
PLPA-PR-U21-010170-001;FC PAKOWANIE CHOCAL T160;PLPA
PLPA-PR-U21-010172;FC PAKOWANIE IFC T55;PLPA
PLPA-PR-U21-010172-001;FC PAKOWANIE IFC T55;PLPA
PLPA-PR-U21-010172-002;FC PAKOWANIE IFC T55 2;PLPA
PLPA-PR-U21-010173;FC PAKOWANIE T15;PLPA
PLPA-PR-U21-010173-001;FC PAKOWANIE T15 1;PLPA
PLPA-PR-U21-010173-002;FC PAKOWANIE T15 2;PLPA
PLPA-PR-U21-010173-003;FC PAKOWANIE T15 3;PLPA
PLPA-PR-U21-010173-004;FC PAKOWANIE T15 4;PLPA
PLPA-PR-U21-010173-005;FC PAKOWANIE T15 5;PLPA
PLPA-PR-U21-010173-006;FC PAKOWANIE T15 6;PLPA
PLPA-PR-U21-010173-007;FC PAKOWANIE T15 FIMA;PLPA
PLPA-PR-U21-010179;FC PAKOWANIE IFC T75;PLPA
PLPA-PR-U21-010179-001;FC PAKOWANIE IFC T75 1;PLPA
PLPA-PR-U21-010179-002;FC PAKOWANIE IFC T75 2;PLPA
PLPA-PR-U21-010180;FC PAKOWANIE BIRILLONE G140;PLPA
PLPA-PR-U21-010180-001;FC PAKOWANIE BIRILLONE G140;PLPA
PLPA-PR-U21-010182;FC PAKOWANIE GR-08 GALLINA G138;PLPA
PLPA-PR-U21-010182-001;FC PAKOWANIE GR-08 GALLINA G138;PLPA
PLPA-PR-U21-010199;KS DOZOWNIKI ODRZYWOŁEK;PLPA
PLPA-PR-U22;UGP22 KINDER JOY;PLPA
PLPA-PR-U22-010320;KJ MODELOWANIE TARTUFINO;PLPA
PLPA-PR-U22-010320-001;KJ STREFA WYPIEKU WAFLA;PLPA
PLPA-PR-U22-010320-002;KJ MODELATOR TARTUFINO;PLPA
PLPA-PR-U22-010325;KJ LINIA 1;PLPA
PLPA-PR-U22-010325-001;KJ 1 MODELATOR;PLPA
PLPA-PR-U22-010325-002;KJ 1 PAKOWANIE;PLPA
PLPA-PR-U22-010326;KJ LINIA 2;PLPA
PLPA-PR-U22-010326-001;KJ 2 MODELATOR;PLPA
PLPA-PR-U22-010326-002;KJ 2 PAKOWANIE;PLPA
PLPA-PR-U22-010335;KJ T3 VALIGETTA;PLPA
PLPA-PR-U22-010337;KJ T3 SCHUBERT;PLPA
PLPA-PR-U22-019329;KJ TERMOFORMATURA;PLPA
PLPA-PR-U22-019329-001;KJ TERMOFORMOWANIE;PLPA
PLPA-PR-U22-019329-002;KJ FORMY;PLPA
PLPA-PR-U31;UGP31 NUTELLA + TOASTING;PLPA
PLPA-PR-U31-011330;Nutella T200 glass;PLPA
PLPA-PR-U31-011330-001;Nutella 200g;PLPA
PLPA-PR-U31-011330-002;Paletyzacja NU 200g;PLPA
PLPA-PR-U31-011331;Nutella T400;PLPA
PLPA-PR-U31-011331-001;Nutella 400g;PLPA
PLPA-PR-U31-011331-002;Paletyzacja NU 400g;PLPA
PLPA-PR-U31-011332;Nutella T750;PLPA
PLPA-PR-U31-011332-001;Nutella 750g;PLPA
PLPA-PR-U31-011332-002;Paletyzacja NU 750g;PLPA
PLPA-PR-U31-012012;Palarnia orzechów 1 Buhler;PLPA
PLPA-PR-U31-012013;Palarnia orzechów 4 Brovind;PLPA
PLPA-PR-U31-012016;Palarnia orzechów 3 Mini;PLPA
PLPA-PR-U31-012112;Palarnia orzechów 2 Barth;PLPA
PLPA-PR-U31-012120;Rozdrabnianie kakao;PLPA
PLPA-PR-U32;UGP32 PREPARATION + DEOD.;PLPA
PLPA-PR-U32-012010;PREP. Kremu RAF;PLPA
PLPA-PR-U32-012011;PREP. Kremu KB;PLPA
PLPA-PR-U32-012011-001;Preparacja kremu KJ/KB/KBW;PLPA
PLPA-PR-U32-012011-002;KBW Enrobing;PLPA
PLPA-PR-U32-012015;Dezodorator 1;PLPA
PLPA-PR-U32-012017;Pasta kokosowa RAF;PLPA
PLPA-PR-U32-012018;PREP. Kremu FC KS;PLPA
PLPA-PR-U32-012020;TOPIELNIKI PREP1;PLPA
PLPA-PR-U32-012021;KBD enrobing;PLPA
PLPA-PR-U32-012110;Prep2 Krem KB;PLPA
PLPA-PR-U32-012111;PREP. Kremu NUT;PLPA
PLPA-PR-U32-012111-001;PREP. Kremu NUT;PLPA
PLPA-PR-U32-012111-002;PREP. Kremu NUT/KJ;PLPA
PLPA-PR-U32-012113;PREP. KREM KBW;PLPA
PLPA-PR-U32-012115;Dezodorator 2;PLPA
PLPA-PR-U32-012118;FC Mild and Dark choc. mixing;PLPA
PLPA-PR-U32-012119;KB Rework;PLPA
PLPA-PR-U32-012210;Jasny krem (TAV/K CARDS/KJ);PLPA
PLPA-PR-U32-012210-001;Jasny krem (TAV/K CARDS/KJ);PLPA
PLPA-PR-U32-012210-002;White Chocolate;PLPA
PLPA-PR-U32-012211;Ciemny krem (K CARDS/KJ);PLPA
PLPA-PR-U32-012215;Dezodoryzator 3;PLPA
PLPA-PR-U32-012220;TOPIELNIKI PREP3;PLPA
PLPA-PR-U41;UGP41 KINDER BUENO MINI;PLPA
PLPA-PR-U41-011441;KB MINI 1.;PLPA
PLPA-PR-U41-011441-001;KB MINI 1. Modelator;PLPA
PLPA-PR-U41-011441-002;KB MINI 1. Pakowanie;PLPA
PLPA-PR-U41-011441-003;KB MINI 1. Pakowanie ABRIGO;PLPA
PLPA-PR-U41-011540;KB MINI 2. Modelator-nowy;PLPA
PLPA-PR-U41-011540-001;KB MINI 2. Piece;PLPA
PLPA-PR-U41-011540-002;KB MINI 2. Modelator(NALEWANIE);PLPA
PLPA-PR-U41-011541;KB MINI 2. Modelator(OBLEWANIE)+PAKOWANI;PLPA
PLPA-PR-U41-011541-001;KB MINI 2. Modelator(OBLEWANIE);PLPA
PLPA-PR-U41-011541-002;KB MINI 2. Pakowanie;PLPA
PLPA-PR-U41-011542;KB MINI 2. Pakowanie MIX;PLPA
PLPA-PR-U42;UGP42 KINDER BUENO WHITE;PLPA
PLPA-PR-U42-011442;KBW 1/COCO;PLPA
PLPA-PR-U42-011442-001;KBW 1. Piece z nawilżaczami;PLPA
PLPA-PR-U42-011442-002;KBW 1. Modelator;PLPA
PLPA-PR-U42-011442-003;KBW 1. Pakowanie;PLPA
PLPA-PR-U42-011443;KBW 2.;PLPA
PLPA-PR-U42-011443-001;KBW 2. Piece z nawilżaczami;PLPA
PLPA-PR-U42-011443-002;KBW 2. Modelator;PLPA
PLPA-PR-U42-011443-003;KBW 2. Pakowanie;PLPA
PLPA-PR-U42-011443-004;Paletyzacja IHS KS/RA/KBW;PLPA
PLPA-PR-U42-011646;KBW 1. Mastello;PLPA
PLPA-PR-U42-011647;KBW 2. Carton Case;PLPA
PLPA-PR-U43;UGP43 KINDER BUENO;PLPA
PLPA-PR-U43-011444;KB / KBW Isola Multipack;PLPA
PLPA-PR-U43-011445;KB 2.;PLPA
PLPA-PR-U43-011445-001;KB 2. Piece z nawilżaczami;PLPA
PLPA-PR-U43-011445-002;KB 2. Modelator;PLPA
PLPA-PR-U43-011445-003;KB 2. Pakowanie;PLPA
PLPA-PR-U43-011446;KB 2. Pakowanie T6;PLPA
PLPA-PR-U43-011447;KB 2. Carton Case;PLPA
PLPA-PR-U43-011544;KB Multipack 2(KB 3);PLPA
PLPA-PR-U43-011545;KB 3.;PLPA
PLPA-PR-U43-011545-001;KB 3. Piece z nawilżaczami;PLPA
PLPA-PR-U43-011545-002;KB 3. Modelator;PLPA
PLPA-PR-U43-011545-003;KB 3. Pakowanie;PLPA
PLPA-PR-UCL;CONTO LAVORO;PLPA
PLPA-PR-UCL-026565;Mix 1/4 PALLETT;PLPA
PLPA-PR-UCL-026565-001;MIX 1/4 PALLETT KINDER;PLPA
PLPA-PR-UCL-026565-002;MIX 1/4 PALLETT PRALINY;PLPA
PLPA-PR-UCL-026565-003;MANUAL CO-PACK ŁOWICZ (Partners) KINDER;PLPA
PLPA-PR-UCL-026565-004;MANUAL CO-PACK ŁOWICZ (Partners) PRALINY;PLPA
PLPA-PR-UCL-026567;A CAL G234;PLPA
PLPA-PR-UCL-026568;Flowpack Cards T2x12;PLPA
PLPA-PR-UCL-026569;Linia Kalendarzy KS T24/ G329;PLPA
PLPA-PR-UCL-026570;Manual line 1 - PELUCHE;PLPA
PLPA-PR-UCL-026571;Manual line 2 - PELUCHE;PLPA
PLPA-PR-UCL-026572;Manual line - KJ / KS;PLPA
PLPA-PR-UCL-026573;Linia BUNNY HOUSE 155G EASTER XXX;PLPA
PLPA-PR-UCL-026574;Manual line 5 - TIC TAC;PLPA
PLPA-PR-UCL-026575;TINS LINE;PLPA
PLPA-PR-UCL-026575-001;TINS LINE Kinder;PLPA
PLPA-PR-UCL-026575-002;TINS LINE Praliny;PLPA
PLPA-PR-UCL-026578;CAL BUENO G167;PLPA
PLPA-PR-UCL-026590;Pralines STELLA;PLPA
PLPA-PR-UCL-026590-001;Pralines CUBOTTO - LINE 1;PLPA
PLPA-PR-UCL-026590-002;Pralines CUBOTTO - LINE 2;PLPA
PLPA-PR-UCL-026591;Pralines CUBOTTO;PLPA
PLPA-PR-UCL-026592;Pralines CUBOTTO;PLPA
PLPA-PR-UCL-026592-001;Pralines CUBOTTO - LINE 1;PLPA
PLPA-PR-UCL-026592-002;Pralines CUBOTTO - LINE 2;PLPA
PLPA-PR-UCL-026594;CAL DBS T27;PLPA
PLPA-PR-UCL-026595;Manual line  (DBS T8/RAF TUBO);PLPA
PLPA-PR-UCL-026597;Manual line cal. dibesten domek XXX;PLPA
PLPA-PR-UCL-026598;PRALINES HANGABLE TINS;PLPA
PLPA-PR-UCL-026696;K MIX G34 TIN;PLPA
PLPA-PR-UCL-026699;CAL KINDER TRAIN G221;PLPA
PLPA-PR-UCL-036565;Manual production KS-Logi Pack;PLPA
PLPA-PR-UCL-056565;Manual co-packing Belsk;PLPA
PLPA-PR-UCL-066565;Manual co-packing Tavolette;PLPA
