Tydzień;Tydzień;Rok;Od;Do;Linia;Rodzina;QL (TOT) Akt;QL (TOT) Pln;% Dvt Produk.;Zmiana Czysty;Zmiana Prg;Q/Zm. Standard;Q/Zm. Akt;Q/Zm. Docel;Q/CPK Akt;Q/CPK Docel;Ope/LN Sh. Akt;Ope/LN Sh. Docel;Ope/EL Sh. Akt;Ope/EL Sh. Docel;G/QL Akt;G/QL Docel;% S.C. Eff;% S.C. Std.;% SR Eff;% SR Std.;% SF/SP Eff;% SF/SP Std.;Godz. Prac. Akt;Godz./Prac. Docel;% Eff LINIA Eff;% Eff LINIA Obb;% Eff Prac. Eff;% Eff Prac. Obb;% Zysku Eff;% Zysku Obb
W19;19;2025;05.05.2025;11.05.2025;10717;1519;954,13;952,02;0,22;21,68;21,64;51,41;44,00;44,00;44,00;44,00;22,00;22,00;2,61;2,61;4,47;4,47;4,95;5,01;0,00;0,00;0,00;0,00;4269,00;4269,20;85,59;85,59;85,59;85,59;85,59;85,59
W19;19;2025;05.05.2025;11.05.2025;10718;1510;15,42;15,01;2,77;0,52;0,51;36,72;29,41;29,40;29,41;29,40;7,87;8,00;0,00;0,00;2,14;2,18;0,10;0,10;0,00;0,00;0,00;0,00;33,00;33,57;80,10;80,07;81,46;80,07;80,10;80,07
W19;19;2025;05.05.2025;11.05.2025;10718;1511;60,81;60,81;0,00;2,03;2,03;38,19;30,03;30,00;30,03;30,00;21,98;22,02;0,00;0,00;5,85;5,87;0,10;0,10;0,00;0,00;0,00;0,00;356,00;357,05;78,63;78,56;78,79;78,56;78,63;78,56
W19;19;2025;05.05.2025;11.05.2025;10719;1505;124,03;124,00;0,03;7,75;7,75;18,51;16,00;16,00;16,00;16,00;16,00;16,00;0,00;0,00;8,00;8,00;0,10;0,10;0,00;0,00;0,00;0,00;992,00;992,29;86,45;86,45;86,48;86,45;86,45;86,45
W19;19;2025;05.05.2025;11.05.2025;10721;1516;75,07;74,26;1,10;7,90;7,82;11,75;9,50;9,50;9,50;9,50;9,07;9,07;0,22;0,23;7,82;7,83;0,50;0,50;0,00;0,00;0,00;0,00;587,00;587,72;80,86;80,85;80,95;80,85;80,86;80,85
W19;19;2025;05.05.2025;11.05.2025;10799;1503;709,90;699,28;1,52;2,92;2,91;271,43;243,16;240,00;243,16;240,00;3,55;3,69;0,00;0,00;0,12;0,12;0,04;0,04;0,00;0,00;0,00;0,00;83,00;87,42;89,59;88,42;93,13;88,42;89,59;88,42
W20;20;2025;12.05.2025;18.05.2025;10703;1503;3179,20;3345,94;-4,98;13,25;13,94;271,44;240,01;240,00;240,01;240,00;51,60;51,61;5,29;4,37;1,90;1,87;1,18;1,21;0,58;0,70;11,73;12,04;6028,00;5932,24;88,42;88,42;87,02;88,42;88,42;88,42
W20;20;2025;12.05.2025;18.05.2025;10716;1509;7,13;7,00;1,82;0,25;0,25;35,64;28,12;28,11;28,12;28,11;6,90;7,00;0,00;0,00;1,96;1,99;0,10;0,10;0,00;0,00;0,00;0,00;14,00;14,20;78,90;78,87;80,00;78,87;78,90;78,87
W20;20;2025;12.05.2025;18.05.2025;10716;1526;83,51;82,87;0,77;2,97;2,95;35,64;28,11;28,11;28,11;28,11;7,07;7,10;0,00;0,00;2,01;2,02;0,10;0,10;0,00;0,00;0,00;0,00;168,00;168,67;78,87;78,87;79,18;78,87;78,87;78,87
W20;20;2025;12.05.2025;18.05.2025;10717;1519;774,06;832,93;-7,07;15,21;16,06;62,47;50,90;50,90;50,90;51,08;26,77;26,78;2,61;2,61;4,62;4,62;4,89;5,01;0,00;0,00;0,00;0,00;3575,00;3576,47;81,47;81,47;81,38;81,34;81,47;81,77
W20;20;2025;12.05.2025;18.05.2025;10721;1516;114,40;112,19;1,97;12,04;11,81;11,75;9,50;9,50;9,50;9,50;9,33;9,33;0,22;0,23;8,04;8,05;0,49;0,50;0,00;0,00;0,00;0,00;920,00;920,57;80,85;80,85;80,90;80,85;80,85;80,85
W20;20;2025;12.05.2025;18.05.2025;10799;1503;204,86;204,86;0,00;0,85;0,85;271,43;240,13;240,00;240,13;240,00;4,84;4,83;0,00;0,00;0,16;0,16;0,05;0,05;0,00;0,00;0,00;0,00;33,00;32,97;88,47;88,42;88,33;88,42;88,47;88,42
W21;21;2025;19.05.2025;25.05.2025;10703;1503;4473,11;4585,72;-2,46;18,79;19,11;271,44;238,03;240,00;238,03;240,00;53,29;54,00;4,30;4,37;1,94;1,95;1,04;1,21;0,74;0,70;11,75;12,03;8658,00;8703,28;87,69;88,42;88,88;88,42;87,69;88,42
W21;21;2025;19.05.2025;25.05.2025;10709;1524;115,60;115,01;0,52;10,93;10,87;13,22;10,58;10,58;10,58;10,58;11,00;11,00;0,17;0,18;8,44;8,45;0,80;0,80;0,00;0,00;0,00;0,00;976,00;976,95;80,04;80,04;80,12;80,04;80,04;80,04
W21;21;2025;19.05.2025;25.05.2025;10716;1506;74,83;74,01;1,10;2,39;2,37;39,17;31,32;31,30;31,32;31,30;7,95;8,00;0,00;0,00;2,03;2,05;0,10;0,10;0,00;0,00;0,00;0,00;152,00;153,01;79,95;79,91;80,44;79,91;79,95;79,91
W21;21;2025;19.05.2025;25.05.2025;10716;1510;5,21;4,99;4,41;0,18;0,17;36,72;29,42;29,40;29,42;29,40;7,76;8,00;0,00;0,00;2,11;2,18;0,10;0,10;0,00;0,00;0,00;0,00;11,00;11,35;80,11;80,07;82,62;80,07;80,11;80,07
W21;21;2025;19.05.2025;25.05.2025;10717;1519;830,17;899,37;-7,70;13,84;14,99;77,11;60,00;60,00;60,00;60,00;33,00;33,01;2,60;2,61;4,75;4,75;5,00;5,01;0,00;0,00;0,00;0,00;3941,00;3942,62;77,81;77,81;77,84;77,81;77,81;77,81
