Rdz.;Oznaczenie
TW10;Internal Order Investment Taiwan
TW20;Internal Order Statistical Australia
TW21;Internal Order Statistical C&D Taiwan
U104;Other Cost SalesCo
U120;Internal Order Statistical SalesCo
U302;Internal Orders Marketing USA
U304;Internal Order Other Costs USA
U310;Internal Orders Investment USA
U320;Internal Order Statistical USA
U321;Internal Ord. Statistical C&D Thorntons
UA02;Internal Orders Marketing Thorntons
UA03;Internal Orders Trade Thorntons
UA04;Internal Order Other Costs Russia
UA10;Internal Orders Investment Israel
UA20;Internal Orders Statistical Thorntons
UA21;Internal Ord. Statistical C&D Thorntons
US01;Internal Orders Product USA
US02;Internal Orders Marketing USA
US03;Internal Orders Trade USA
US04;Internal Order Other Costs USA
US07;Internal Orders Marketing USA
US10;Internal Orders Investment USA
US20;Internal Order Statistical USA
US60;USA Manual R/3 order (copacker - normal)
US61;USA Normal production from APO
US62;USA Co-packer production from APO
US65;IT Re-packing orders via prod. model
US66;Zlecenie testowe
US67;Zbieracz dodatkowych koszt. dla zlec. te
US70;Zmiana kodu zlecenia Z BOM
US75;BE Re-packing orders via prod. model
USM1;WO - Corrective Maintenance
USM2;WO - Preventive Maintenance Scheduled
USM4;WO - Improvement Maintenance
USM6;WO - Corrective Maintenance Postponed
USM7;WO - Operational Assis.during production
USMA;WO - Others Cost
USMB;WO - New Investments (Commessa)
XIP1;WO - Corrective Maintenance
Z101;Internal Orders Product Ithemba
Z102;Internal Orders Marketing Ithemba
Z103;Internal Orders Trade Ithemba
Z110;Internal Orders Investment Ithemba
Z120;Internal Order Statistical Ithemba
ZA10;Internal Orders Investment Imsofer S.A.
ZA20;Internal Order Statistical Imsofer S.A.
ZA21;Internal Order Statistical Imsofer S.A.
ZA60;Orders created direcly in R3
ZA61;IT normal production via APO
ZA65;IT Re-packing orders via prod. model
ZA66;IT test order
ZA67;IT test order
ZA68;IT Ordini di Test UPS
ZA69;Zmiana kodu zlecenia Z BOM
