Rdz.;Oznaczenie
CAMF;WO - Building works
CAMK;WO - non - Depreciable
CH01;Internal Orders Product Schweiz
CH02;Internal Orders Marketing Schweiz
CH03;Internal Orders Trade Schweiz
CH04;Internal Order Other Costs Schweiz
CH10;
CH20;Internal Order Statistical Schweiz
CH21;Internal Order Statistical C&D Schweiz
CL60;USA Manual R/3 order (copacker - normal)
CL61;USA Normal production from APO
CN01;
CN02;
CN03;
CN04;Internal Orders Other costs China
CN07;
CN10;
CN20;
CN21;Internal Order Statistical C&D China
CN60;USA Manual R/3 order (copacker - normal)
CN61;Norm. produkcja z APO
CN62;Konfekcja z APO
CN66;Zlecenie testowe
CN67;Zbieracz dodatkowych koszt. dla zlec. te
CN82;IT Manual R/3 order (copacker - normal)
CNM1;WO - Corrective Maintenance
CNM2;WO - Preventive Maintenance Scheduled
CNM3;WO - Preventive Maintenance Conditional
CNM4;WO - Improvement Maintenance
CNM5;WO - Shut Down Maintenance
CNM6;WO - Corrective Maintenance Postponed
CNM7;WO - Operational Assis.during production
CNM8;WO - Operational Assis during no product
CNM9;WO - Unpredictable Cost
CNMA;WO - Others Cost
CNMB;WO - New Investments (Commessa)
CNMF;WO - Building Works
CNMK;WO - Non-depreciable assets
CO21;Internal Order Statistical C&D Colombia
CZ01;Internal Orders Product Ceska
CZ02;Internal Orders Marketing Ceska
CZ03;Internal Orders Trade Ceska
CZ04;Internal Orders Other Costs  Ceska
CZ10;Internal Orders Investment Ceska
CZ20;Internal Order Statistical Ceska
CZ21;Internal Order Statistical C&D Ceska
DE60;BE Manual R/3 order (copacker - normal)
DE61;BE Normal production via APO
DE62;BE Co-packer production via APO
DE65;BE Re-packing orders via prod. model
DE66;IT test order
DE67;IT test order
DE69;Zmiana kodu zlecenia Z BOM
DE70;Zmiana kodu zlecenia Z BOM
DE75;BE Re-packing orders via prod. model
DE80;IT test order
DE81;IT Manual R/3 order (copacker - normal)
DE82;IT Manual R/3 order (copacker - normal)
DI01;Internal Orders Product Ceska
DI02;Internal Orders Marketing Ceska
DI03;Internal Orders Trade Ceska
DI10;Internal Orders Investment Indonesia
E101;Internal Orders Product Portogallo
E102;Internal Orders Marketing Portogallo
E103;Internal Orders Trade Portogallo
E104;Internal Orders Other Costs Portogallo
E105;
E107;Internal Orders Marketing Portogallo
E110;Internal Orders Investment Portogallo
E120;Internal Order Statistical Portogallo
E160;IT Manual R/3 order (copacker - normal)
E162;USA Co-packer production from APO
EC21;Internal Order Statistical C&D Ecuador
EC60;EC Manual R/3 orden (copacker - normal)
EC61;EC produccion normal via APO
EC62;EC Co-packer production via APO
EC65;EC Unpack MU commitment
EC66;Test order
EC67;Inefficiency collector for test orders
EC69;Transcoding order with Z BOM
EC70;EC Repack Factory commitment
EC75;EC Unpack/Repair BU commitment (out NM)
EC82;EC Co-packer production via APO
ECM1;WO - Corrective Maintenance
ECM2;WO - Preventive Maintenance Scheduled
ECM3;WO - Preventive Maintenance Conditional
ECM4;WO - Improvement Maintenance
ECM5;WO - Shut Down Maintenance
ECM6;WO - Corrective Maintenance Postponed
ECM7;WO - Operational Assis.during production
ECM8;WO - Operational Assis during no product
ECM9;WO - Unpredictable Cost
ECMA;WO - Others Cost
ECMB;WO - New Investments (Commessa)
ECMF;WO - Building Works
ES01;Internal Orders Product Iberica
ES02;Internal Orders Marketing Iberica
ES03;Internal Orders Trade Iberica
ES04;Internal Orders Other Costs Iberica
ES05;
ES07;Internal Orders Marketing Iberica
ES10;Internal Orders Investment Iberica
ES20;Internal Order Statistical Iberica
ES60;IT Manual R/3 order (copacker - normal)
ES61;USA Normal production from APO
ES62;USA Co-packer production from APO
ES65;BE Re-packing orders via prod. model
ES66;Zlecenie testowe
ES67;Zbieracz dodatkowych koszt. dla zlec. te
ES70;Zmiana kodu zlecenia Z BOM
ES75;BE Re-packing orders via prod. model
F101;Internal Orders Product France Comm
F102;Internal Orders Marketing France Comm
F103;Internal Orders Trade France Comm
F104;Internal Orders Other Costs France
F105;Main Events Francia
F107;Internal Orders Marketing France Comm
F110;Internal Orders Investment France
F150;Copacking Ferrero France Comm.
FE01;Normal production
FE02;Co-Packer
FE03;Test-Production
FE05;Repackaging
FE13;Orders created manually
FE99;Normal production
FR01;Internal Orders Product France
FR02;Internal Orders Marketing France
FR03;Internal Orders Trade France
FR04;Internal Orders Other Costs France
FR05;Main Events Francia
FR10;Internal Orders Investment France
FR50;Internal Order Copacking Ferrero France
FR60;FR Manual R/3 order (copacker - normal)
FR61;FR Normal production via APO
FR62;FR Co-packer production via APO
FR65;FR Re-packing orders via prod. model
FR66;Zlecenie testowe
FR67;Zbieracz dodatkowych koszt. dla zlec. te
FR69;Zmiana kodu zlecenia Z BOM
FR70;Zmiana kodu zlecenia Z BOM
FRM1;Breakdown emergency
FRM2;Preventive cycle
FRM3;Preventive condition
FRM4;Ameliorative
FRM5;Revisions
FRM6;Breakdown deferrable
FRM7;Operational assistance with production
FRM8;Operational assistance no production
FRM9;Extraordinary works
FRMA;Others cost
FRMB;Investment order
FRMF;Building works
FRMK;Non-depreciable assets
G102;Internal Orders Marketing Thorntons
G103;Internal Orders Trade Thorntons
G104;Other Costs Thorntons
G107;Internal Orders Marketing Thorntons
G120;Internal Orders Statistical Thorntons
G121;Internal Ord. Statistical C&D Thorntons
G204;Other Costs Strand Court Properties Tho
GB01;Internal Orders Product UK
GB02;Internal Orders Marketing UK
GB03;Internal Orders Trade UK
GB04;Internal Order Other Costs UK
GB07;Internal Orders Marketing UK
GB10;UK Investment Under Construction
GB20;Internal Orders for Internal Projects UK
GB60;Zlec. ręczne R/3 (konf. - norm.)
GB61;Norm. produkcja z APO
GB62;Konfekcja z APO
GB65;FR Re-packing orders via prod. model
GB66;Zlecenie testowe
GB67;Zbieracz dodatkowych koszt. dla zlec. te
GB69;Zmiana kodu zlecenia Z BOM
GBM1;WO - Corrective Maintenance
GBM2;WO - Preventive Maintenance Scheduled
GBM4;WO - Improvement Maintenance
GBM6;WO - Corrective Maintenance Postponed
GBM7;WO - Operational Assis.during production
GBMA;WO - Others Cost
GBMB;WO - New Investments (Commessa)
GR01;
GR02;
GR03;
GR04;
GR10;
GR20;Inte
GR21;Internal Order Statistical C&D Greece
GR60;Zlec. ręczne R/3 (konf. - norm.)
GR62;Konfekcja z APO
GR65;GR Re/Un-packing orders via prod. model
HH04;Internal Orders Other costs Australia
HH10;Internal Order Investment FINT HK
HH20;Internal Order Statistical Australia
HK01;Internal Orders Product Australia
HK02;Internal Orders Marketing Australia
HK03;Internal Orders Trade Australia
HK04;Internal Orders Other costs Australia
HK10;Internal Order Investment Hong Kong
HK20;Internal Order Statistical Australia
HK21;Internal Order Statistical C&D Hong Kong
HR01;Internal Orders Product Croazia
HR02;Internal Orders Marketing Croazia
HR03;Internal Orders Trade Croazia
HR04;Internal Orders Other Costs  Romania
HR10;Internal Orders Investment Croazia
HR20;Internal Order Statistical Croazia
HR21;Internal Order Statistical C&D Croazia
HU01;Internal Orders Product Ungheria
HU02;Internal Orders Marketing Ungheria
HU03;Internal Orders Trade Ungheria
HU04;Internal Orders Other Costs  Ceska
HU05;
HU10;Internal Orders Investment Ungheria
HU20;Internal Order Statistical Ungheria
HU21;Internal Order Statistical C&D Ungheria
I004;Internal Order Other Costs Energhe S.p.A
I010;Internal Orders Investment Energhe S.p.A
I104;Internal Order Other Costs Alba Power
I110;Internal Orders Investment Alba Power
I201;Internal Orders Product Soremartec ITA
I202;Internal Orders Trade Soremartec ITA
I203;Internal Orders Trade Soremartec ITA
I204;Internal Order Other Costs Schweiz
I210;Internal Orders Invest Soremartec ITA
I220;Internal Orders Statist Soremartec ITA
I504;Internal Order Other Costs P.Ferrero & C
I604;Internal Orders Other Costs Denmark
I610;Internal Orders Investment Canada
I704;Internal Order Other Costs FIS GEIE
IA04;Internal Orders Other Costs India PVT LT
IB01;Internal Orders Product India MPG
IB04;Internal Orders Other Costs  MPG
IB10;Internal Orders Investment India
IC04;Internal Orders Other Costs  Ceska
IE04;Internal Orders Other cost Ireland
IE10;Internal Orders Investment Ardenne
IE20;Internal Order Statistical Ardenne
IE60;Zlec. ręczne R/3 (konf. - norm.)
IE61;Norm. produkcja z APO
IE65;FR Re-packing orders via prod. model
IE66;Zlecenie testowe
IE67;Zbieracz dodatkowych koszt. dla zlec. te
IE70;Zmiana kodu zlecenia Z BOM
IE75;BE Re-packing orders via prod. model
IEM1;WO - Corrective Maintenance
IEM2;WO - Preventive Maintenance Scheduled
IEM3;WO - Preventive Maintenance Conditional
IEM4;WO - Improvement Maintenance
IEM5;WO - Shut Down Maintenance
IEM6;WO - Corrective Maintenance Postponed
IEM7;WO - Operational Assis.during production
IEM8;WO - Operational Assis during no product
IEM9;WO - Unpredictable Cost
IEMA;WO - Others Cost
IEMB;WO - New Investments (Commessa)
IEMF;WO - Building Works
IG02;Internal Orders Marketing Italy
IL10;Internal Orders Invest Soremartec ITA
IM20;Internal Order Statistical Italia
IN10;Internal Orders Investment India
IN20;Internal Order Statistical India
IN21;Internal Order Statistical C&D India
IN60;Normal production
IN61;IT normal production via APO
IN65;IT Re-packing orders via prod. model
IN66;IT test order
IN67;IT test order
IN68;Normal production
IN69;Zmiana kodu zlecenia Z BOM
IN82;IT Manual R/3 order (copacker - normal)
IT01;Internal Orders Product Italy
IT02;Internal Orders Marketing Italy
IT03;Internal Orders Trade Italy
IT04;Internal Orders Other Costs Italy
IT05;Main Events Italia
IT10;Internal Orders Investment Italy
IT20;Internal Order Statistical Italia
IT30;
IT60;IT Manual R/3 order (copacker - normal)
IT61;IT normal production via APO
IT62;IT Co-packer production via APO
IT63;BE Manual R/3 order (copacker - normal)
IT65;IT Re-packing orders via prod. model
IT66;IT test order
IT67;IT test order
IT68;IT Ordini di Test UPS
IT69;IT for fictitious codes (not activated)
IT70;Zmiana kodu zlecenia Z BOM
IT75;BE Re-packing orders via prod. model
IT79;IT Surprises cleaning
IT80;IT Manual R/3 order (copacker - normal)
IT81;IT Manual R/3 order (copacker - normal)
IT82;IT Manual R/3 order (copacker - normal)
IT99;IT Manual R/3 order (copacker - normal)
ITM1;Breakdown emergency
ITM2;Preventive cycle
ITM3;Preventive condition
ITM4;Ameliorative
ITM5;Revisions
ITM6;Breakdown deferrable
ITM7;Operational assistance with production
ITM8;Operational assistance no production
ITM9;Extraordinary works
ITMA;Others cost
ITMB;Investment order
ITMF;Building works
ITMK;Non-depreciable assets
ITQ1;WO - Corrective Maintenance
JE02;Internal Orders Marketing Jersey Tho
JE03;Internal Orders Trade Jersey Tho
JE20;Internal Orders Statistical Jersey Tho
JP01;Internal Orders Product Australia
JP02;Internal Orders Marketing Australia
JP03;Internal Orders Trade Australia
JP04;Internal Orders Other costs Australia
JP07;Internal Orders Marketing Australia
JP10;Internal Order Investment Japan
JP20;Internal Order Statistical Australia
JP21;Internal Order Statistical C&D Japan
K101;
K102;
K103;
K104;Internal Orders Other costs China
K110;
K120;
K201;
K202;
K203;
K204;Internal Orders Other costs China
K210;Internal Order Investment Hong Kong
K220;
KR01;Internal Orders Product Australia
KR02;Internal Orders Marketing Australia
KR03;Internal Orders Trade Australia
KR04;Internal Orders Other costs Australia
KR07;Internal Orders Marketing Australia
KR10;Internal Order Investment Korea
KR20;Internal Order Statistical Australia
KR21;Internal Order Statistical C&D Korea
KZ02;Internal Orders Marketing Thorntons
KZ03;Internal Orders Trade Thorntons
KZ04;Internal Order Other Costs Russia
KZ10;Internal Orders Investment Israel
KZ20;Internal Orders Statistical Thorntons
KZ21;Internal Ord. Statistical C&D Thorntons
L020;Internal Order Statistical International
L101;Internal Orders Product International
L104;Internal Order Other Costs International
L110;Internal Orders Investment International
L120;Internal Order Statistical International
L201;Internal Orders Product Trading
L202;Internal Orders Marketing Trading
L203;Internal Orders Trade Trading
L204;Internal Order Other Costs Trading
L205;Main Events Trading
L207;Internal Orders Marketing Trading
L210;Internal Orders Investment Trading
L220;Internal Order Statistical Trading
L404;Internal Order Sereco (Insurance Policy)
L410;Internal Orders Investment Sereco
L420;Internal Order Statistical Sereco
L520;Internal Orders Statistical Soremartec
L610;Internal Orders Investment FSC
L620;Internal Order Statistical FSC
L720;Internal Order Statistical Fis Geie Lux
LA01;Internal Orders Product Soremartec S.A.
LA02;Internal Orders Product Soremartec S.A.
LA03;Internal Orders Trade Soremartec S.A.
LA04;Internal Order Other Costs Schweiz
LA10;Internal Orders Investment Soremartec
LA20;Internal Orders Statistical Soremartec
LL01;Internal Orders Product Australia
LL02;Internal Orders Marketing Australia
LL03;Internal Orders Trade Australia
LL05;Main Events Francia
LL07;Internal Orders Marketing Australia
LL10;Internal Orders Investment Israel
LL20;Internal Orders Statistical Israel
LU60;BE Manual R/3 order (copacker - normal)
LU82;Mixed surprise
M001;Internal Orders Product Soremartec MC20
M003;Internal Orders Trade Soremartec MC20
