Urządzenie;Oznaczenie;Ważne do;Zakład planow.
10079635;1-T23 e T30 lata Kartoniarka NKA - RAFFA;31.12.9999;PLPA
10079636;2-T23 e T30 lata Waga dozująca  MBP SM14;31.12.9999;PLPA
10079637;2-T23 e T30 lata Waga kontrolna GARVENS;31.12.9999;PLPA
10079638;2-T23 e T30 lata Kartoniarka do tac;31.12.9999;PLPA
10079639;2-T23 e T30 lata Głowica etykietująca Ga;31.12.9999;PLPA
10079640;"""2-T23 e T30 lata Klejarka CONCEPT 4/4 K";31.12.9999;PLPA
10079641;2-T23 e T30 lata Oklejarka do kartonów 3;31.12.9999;PLPA
10079642;2-T23 e T30 lata Drukarka WILLETT 460 MK;31.12.9999;PLPA
10079643;2-T23 e T30 lata Drukarka WILLETT 460 MK;31.12.9999;PLPA
10079644;1-Raff.cubo T30 MIMI tunel grzewczy;31.12.9999;PLPA
10079645;1-Transporter główny pod wagę nasypową;31.12.9999;PLPA
10079646;1-Transporter modułowy kokard;31.12.9999;PLPA
10079647;1-Transporter modułowy klejenia kokard;31.12.9999;PLPA
10079648;1-Raff.cubo T30 Klipsownica stołowa TC 1;31.12.9999;PLPA
10079649;1-Kartoniarka;31.12.9999;PLPA
10079650;2-Kartoniarka K1;31.12.9999;PLPA
10079651;2-Kartoniarka K6;31.12.9999;PLPA
10079652;2-Kartoniarka K3;31.12.9999;PLPA
10079653;2-Kartoniarka K4;31.12.9999;PLPA
10079654;2-Kartoniarka K5;31.12.9999;PLPA
10079655;1-Kartoniarka;31.12.9999;PLPA
10079656;2-Kartoniarka / do display T15 /;31.12.9999;PLPA
10079657;1-Wagi;31.12.9999;PLPA
10079658;2-Waga nasypowa nr 4;31.12.9999;PLPA
10079659;2-Waga nasypowa nr 2;31.12.9999;PLPA
10079660;2-Waga nasypowa nr 1;31.12.9999;PLPA
10079661;2-Waga nasypowa nr 3;31.12.9999;PLPA
10079662;2-Waga przepływowa(kontrolna);31.12.9999;PLPA
10079663;2-Waga przepływowa(kontrolna);31.12.9999;PLPA
10079664;2-Szafa sterownicza do wagi nasypowej;31.12.9999;PLPA
10079665;2-Szafa sterownicza do wagi nasypowej;31.12.9999;PLPA
10079666;2-Zespół transporterów górnych nr 3;31.12.9999;PLPA
10079667;2-Zespół transporterów górnych nr 4;31.12.9999;PLPA
10079668;2-Zrobotyzowane urzą.przekł.pudełek;31.12.9999;PLPA
10079669;2-Zespół przekładaczy T15;31.12.9999;PLPA
10079670;1-Zrobotyzowane urząd.nakład.cover 1;31.12.9999;PLPA
10079671;2-Pakowarka pozioma/Robot do nakładania;31.12.9999;PLPA
10079672;1-Transportery;31.12.9999;PLPA
10079673;2-Transporter nr 1;31.12.9999;PLPA
10079674;2-Transporter nr 2;31.12.9999;PLPA
10079675;2-Zespół transporterów opakowan zb.;31.12.9999;PLPA
10079676;1-Drukarki;31.12.9999;PLPA
10079677;2-Drukarka laserowa;31.12.9999;PLPA
10079678;2-Drukarka laserowa   4800;31.12.9999;PLPA
10079679;2-Drukarka;31.12.9999;PLPA
10079680;2-Zespół klejenia kartonika;31.12.9999;PLPA
10079681;2-Drukarka 001918;31.12.9999;PLPA
10079682;1-Klejarki;31.12.9999;PLPA
10079683;2-Klejarka;31.12.9999;PLPA
10079684;3-Klejarka;31.12.9999;PLPA
10079685;2-Klejarka;31.12.9999;PLPA
10079686;2-Klejarka;31.12.9999;PLPA
10079687;1-Transporter pionowy linii 1-2;31.12.9999;PLPA
10079688;2-Klejarka;31.12.9999;PLPA
10079689;2-Przenośnik rolkowy L=800+ montaż;31.12.9999;PLPA
10079690;1-Odkurzacz IVB-5 302001892;31.12.9999;PLPA
10079691;1-Odkurzacz IVB-5 302001892;31.12.9999;PLPA
10079692;1-Odkurzacz IVB-5 302001892;31.12.9999;PLPA
10079693;2-Pakowarka pozioma 2;31.12.9999;PLPA
10079694;2-Przekładacz pralin 2;31.12.9999;PLPA
10079695;2-Metaldetektor 2;31.12.9999;PLPA
10079696;2-Transporter taśmowy nr 2;31.12.9999;PLPA
10079697;2-Waga przepływowa(kontrolna);31.12.9999;PLPA
10079698;1- Kartoniarka T15;31.12.9999;PLPA
10079699;2-Robot do pakowania T3, T4 lub T1 2;31.12.9999;PLPA
10079700;2-Drukarka;31.12.9999;PLPA
10079701;2-Klejarka do Couvera;31.12.9999;PLPA
10079702;2-Transporter górny / do  T1 luzem /;31.12.9999;PLPA
10079703;2-Transporter taśmowy nr 3;31.12.9999;PLPA
10079704;2-Etykieciarka T3/T4;31.12.9999;PLPA
10079705;2-Zespół transporterów pudełek T3,T4-2;31.12.9999;PLPA
10079706;1-Pakowarka pozioma+ety (nie logować);31.12.9999;PLPA
10079707;2-Przekładacze pralin nr 3;31.12.9999;PLPA
10079708;2- Zespół transporterów pudełek T3,T4-3;31.12.9999;PLPA
10079709;2-Waga przepływowa(kontrolna);31.12.9999;PLPA
10079710;2-Kartoniarka /do display T3, T4 /;31.12.9999;PLPA
10079711;2-Kartoniarka / do display T3,T4 /;31.12.9999;PLPA
10079712;2-Transporter górny /do T1 luzem/;31.12.9999;PLPA
10079713;2-Transporter górny / do  T1 luzem /;31.12.9999;PLPA
10079714;2-Robot do pakowania T3, T4 lub T1 3;31.12.9999;PLPA
10079715;2-Etykieciarka T3/T4 2;31.12.9999;PLPA
10079716;2-Drukarka;31.12.9999;PLPA
10079717;1-Modelator Aasted;31.12.9999;PLPA
10079718;2-Chłodnia I;31.12.9999;PLPA
10079719;2-Chłodnia II;31.12.9999;PLPA
10079720;2-Chłodnia III;31.12.9999;PLPA
10079721;2- Transporter foremek;31.12.9999;PLPA
10079722;2-Transporter jajek;31.12.9999;PLPA
10079723;1-Modelator FC - Temperówka TC 10000 FC;31.12.9999;PLPA
10079724;2-Formierka - zbiornik/nalewarka;31.12.9999;PLPA
10079725;1-Sito wibracyjne;31.12.9999;PLPA
10079726;1-Zbiornik V-12500L 316L/304;31.12.9999;PLPA
10079727;1-Modelator FC - Temperówka TC 10000 FC;31.12.9999;PLPA
10079728;2-Formierka - zbiornik/nalewarka;31.12.9999;PLPA
10079729;1-Sito wibracyjne;31.12.9999;PLPA
10079730;1-Zbiornik V-12500L 316L/304;31.12.9999;PLPA
