Urządzenie;Oznaczenie;Ważne do;Zakład planow.
10080692;1-KJII-Banderownica;31.12.9999;PLPA
10080693;1-KJII-Banderownica;31.12.9999;PLPA
10080694;1-Steam Boilers;31.12.9999;PLPA
10080695;1-Kocioł1 Belsk / Loos /-5t steam boiler;31.12.9999;PLPA
10080696;"1-Kocioł2 Belsk; Viessman";31.12.9999;PLPA
10080697;"1-Kocioł4 Belsk; STC";31.12.9999;PLPA
10080698;1-Wind Turbines;31.12.9999;PLPA
10080699;2-10kW wind turbine AirCon;31.12.9999;PLPA
10080700;2-The tower and foundation Inst-mont Air;31.12.9999;PLPA
10080701;2-The tower and foundation Inst-mont Air;31.12.9999;PLPA
10080702;2-The tower and foundation Inst-mont Air;31.12.9999;PLPA
10080703;1-1 KS production hall;31.12.9999;PLPA
10080704;2-Production hall Belsk-Soppalco KJ floo;31.12.9999;PLPA
10080705;2-wharf, the link between the halls Raff;31.12.9999;PLPA
10080706;1-1 KS Building Services;31.12.9999;PLPA
10080707;1-wrapping machine stretch film MANULI E;31.12.9999;PLPA
10080708;2-Production hall Belsk - Boiler STC;31.12.9999;PLPA
10080709;1-Building KBII;31.12.9999;PLPA
10080710;2-Production hall Bueno II - 6321 A conc;31.12.9999;PLPA
10080711;2-Washer 2 162m2-production hall Bueno I;31.12.9999;PLPA
10080712;2-Hall Incl. Bueno II-6410 battery charg;31.12.9999;PLPA
10080713;2-Production hall Bueno II-6427 office s;31.12.9999;PLPA
10080714;2-TOSTINO2-Building;31.12.9999;PLPA
10080715;2-wharf, the link between Prepar.Deodor;31.12.9999;PLPA
10080716;2-Building KJ Germano di Grano 378.8 m2;31.12.9999;PLPA
10080717;1-Building Services KBII;31.12.9999;PLPA
10080718;2-Apparatus for transp. pallets with 2 l;31.12.9999;PLPA
10080719;1-wrapping machine stretch film MANULI E;31.12.9999;PLPA
10080720;1-Building 3 KJ;31.12.9999;PLPA
10080721;2-Implementation of the connector KBII h;31.12.9999;PLPA
10080722;1-3 KJ Building Services;31.12.9999;PLPA
10080723;2-Trolley - rack;31.12.9999;PLPA
10080724;2-Warehouse with shelves bearing jars;31.12.9999;PLPA
10080725;2-The Pallet transporterterów;31.12.9999;PLPA
10080726;2-CURTAIN POW. Rico Thermozone AC 418 ra;31.12.9999;PLPA
10080727;2-CURTAIN POW. Rico Thermozone AC 418 ra;31.12.9999;PLPA
10080728;2-thermal imaging camera VIGOcam 50;31.12.9999;PLPA
10080729;2-curtain air F-37F (V) 1.8 m + availabl;31.12.9999;PLPA
10080730;2-curtain air F-37F (V) 1.8 m + availabl;31.12.9999;PLPA
10080731;2-Water Curtain KWH-38F 2m + access.;31.12.9999;PLPA
10080732;2-curtain air BKP-7000 + assembly Ekokli;31.12.9999;PLPA
10080733;1-wrapping machine stretch film MARFLEX;31.12.9999;PLPA
10080734;1-wrapping machine stretch film MARFLEX;31.12.9999;PLPA
10080735;1-wrapping machine stretch film MARFLEX;31.12.9999;PLPA
10080736;2-curtain air KPE-2700-120 N = 10 kW, L;31.12.9999;PLPA
10080737;2-curtain air KPE-10800-320 N = 30 kW, L;31.12.9999;PLPA
10080738;2-curtain air KPE-3600-160 N = 15 kW, L;31.12.9999;PLPA
10080739;2-curtain air KPE-7200-275 N = 25 kW, L;31.12.9999;PLPA
10080740;1-Building 4 TT;31.12.9999;PLPA
10080741;1-4 TT Services Building;31.12.9999;PLPA
10080742;1-5 plastics production hall;31.12.9999;PLPA
10080743;2-Plastic Hall - 6242 and 6270 attempts;31.12.9999;PLPA
10080744;2-Plastic Hall - 6256 old - Warehouse su;31.12.9999;PLPA
10080745;2-Plastic Hall - 6348 old - Warehouse su;31.12.9999;PLPA
10080746;1-Services 5 plastics production hall;31.12.9999;PLPA
10080747;1-Building magazine cleaning;31.12.9999;PLPA
10080748;1-Miscellaneous equipment;31.12.9999;PLPA
10080749;2-Furniture w / g Annex - 839/07 Akccept;31.12.9999;PLPA
10080750;"2-Outdoor Bookcase 42x45x206; 2 * 80cm";31.12.9999;PLPA
10080751;2-3 * OFFICE CHAIR 905 B-REGUL. BT02;31.12.9999;PLPA
10080752;2-Monitor 170S6FB 17 'LCD12ms TCO'03;31.12.9999;PLPA
10080753;"2-Mon. HP LP1965 19 """"LCD Display""";31.12.9999;PLPA
10080754;"2-Mon. HP LP1965 19 """"LCD Display""";31.12.9999;PLPA
10080755;2-Comp HP dc7800CMT C2D6550/1G/250G;31.12.9999;PLPA
10080756;2-Comp HP dc7800CMT C2D6550/1G/250G;31.12.9999;PLPA
10080757;2-Comp HP dc7800 CMT/E65501G/250;31.12.9999;PLPA
10080758;2-Comp HP dc7800 CMT/E65501G/250;31.12.9999;PLPA
10080759;2-HP P2605DN;31.12.9999;PLPA
10080760;2-Port Replicator HP 2008 150W;31.12.9999;PLPA
10080761;2-The Sadiba;31.12.9999;PLPA
10080762;1-Laboratory of Sensory;31.12.9999;PLPA
10080763;1-Laboratory of Microbial;31.12.9999;PLPA
10080764;1-Laboratory of physicochemical;31.12.9999;PLPA
10080765;1-Technology Lab at KJ;31.12.9999;PLPA
10080766;1-The system modeler KJ1;31.12.9999;PLPA
10080767;2-Transporter 1-P20, shape From 3036/201;31.12.9999;PLPA
10080768;2-Transporter 3-P20, shape L 3038/2010 (;31.12.9999;PLPA
10080769;2-Transporter 2-P20, shape multifilament;31.12.9999;PLPA
10080770;2-Pakow.liniaKJ - Filler cream dark;31.12.9999;PLPA
10080771;2-Pakow.liniaKJ - Cooling tunnel;31.12.9999;PLPA
10080772;2-Pakow.liniaKJ - Filler cream white;31.12.9999;PLPA
10080773;1-Pakow.liniaKJ - Presser tartufino;31.12.9999;PLPA
10080774;1-Pakow.liniaKJ - Transporter module din;31.12.9999;PLPA
10080775;2-Pakow.liniaKJ - Cooling tunnel;31.12.9999;PLPA
10080776;1-Kinder Joy line-dispenser modules with;31.12.9999;PLPA
10080777;1-Kinder Joy line-Dizownik modules with;31.12.9999;PLPA
10080778;1-Kinder Joy line-Dizownik modules with;31.12.9999;PLPA
10080779;1-Kinder Joy 28-module-modules with a to;31.12.9999;PLPA
10080780;1-Kinder Joy 28-module-modules with a to;31.12.9999;PLPA
10080781;1-KJ 6-sta packing - Dizownik modules wi;31.12.9999;PLPA
10080782;1-Kinder Joy 28-modules-welding tsp;31.12.9999;PLPA
10080783;1-Kinder Joy 28-modules-welding tsp;31.12.9999;PLPA
10080784;1-Kinder Joy 28-modules-welding tsp;31.12.9999;PLPA
10080785;1-Kinder Joy 28-modules-welding tsp;31.12.9999;PLPA
10080786;1-Kinder Joy 28-modules-welding tsp;31.12.9999;PLPA
10080787;1-Kinder Joy 28-modules-welding modules;31.12.9999;PLPA
10080788;1-Kinder Joy 28-modules-welding modules;31.12.9999;PLPA
10080789;1-Kinder Joy line-welding the diaphragm;31.12.9999;PLPA
10080790;1-Kinder Joy line-welding modules;31.12.9999;PLPA
10080791;1-Kinder Joy line-welding modules of sur;31.12.9999;PLPA
10080792;1-KJ 6-sta packing - welding n modules;31.12.9999;PLPA
10080793;1-Kinder Joy line-cranes for carriers of;31.12.9999;PLPA
10080794;1-Kinder Joy line-cranes for carriers of;31.12.9999;PLPA
10080795;1-Kinder Joy line-cranes for carriers of;31.12.9999;PLPA
10080796;1-Kinder Joy line-cranes for carriers of;31.12.9999;PLPA
10080797;1-Kinder Joy line-cranes for carriers of;31.12.9999;PLPA
10080798;2-KJ Transporter Flex-Link (for welding;31.12.9999;PLPA
10080799;2-KJ Transporter Flex-Link;31.12.9999;PLPA
10080800;2-KJ Transporter Flex-Link;31.12.9999;PLPA
10080801;2-KJ Transporter Flex-Link;31.12.9999;PLPA
10080802;2-KJ Transporter Flex-Link;31.12.9999;PLPA
10080803;2-KJ Transporter Flex-Link;31.12.9999;PLPA
10080804;1-Kinder Joy line-pusher modules;31.12.9999;PLPA
10080805;1-Kinder Joy line-pusher modules;31.12.9999;PLPA
10080806;1-Kinder Joy line-pusher modules;31.12.9999;PLPA
10080807;1-Kinder Joy 28-module-modules Retainer;31.12.9999;PLPA
10080808;1-Kinder Joy 28-module-modules Retainer;31.12.9999;PLPA
10080809;1-Retainer modules;31.12.9999;PLPA
10080810;1-KJ Sarong cutter Easy Cut Unit;31.12.9999;PLPA
10080811;2-Kinder Joy cabinet line-electric;31.12.9999;PLPA
10080812;1-KJ Sarong cutter Easy Cut Unit;31.12.9999;PLPA
10080813;2-Kinder Joy cabinet line-electric;31.12.9999;PLPA
10080814;1-KJ Sarong cutter Easy Cut Unit;31.12.9999;PLPA
10080815;1-KJ Sarong cutter Easy Cut Unit;31.12.9999;PLPA
10080816;2-Kinder Joy cabinet line-electric;31.12.9999;PLPA
10080817;1-KJ Sarong cutter Easy Cut Unit;31.12.9999;PLPA
10080818;1-KJ Sarong cutter Easy Cut Unit;31.12.9999;PLPA
10080819;1-Kinder Joy-line conveyor chain;31.12.9999;PLPA
10080820;1-Kinder Joy-line chain conveyor;31.12.9999;PLPA
10080821;1-Kinder Joy-line chain conveyor;31.12.9999;PLPA
10080822;1-Kinder Joy 28-modules-chain conveyor;31.12.9999;PLPA
10080823;1-Kinder Joy 28-modules-chain conveyor;31.12.9999;PLPA
10080824;1-KJ 6-sta Packing - Conveyor Chain;31.12.9999;PLPA
10080825;1-KJ 6-sta packing - chain conveyor;31.12.9999;PLPA
10080826;1-Kinder Joy line-Ejector for compacts w;31.12.9999;PLPA
10080827;1-KJ 6-sta packing - Cutter for eggs;31.12.9999;PLPA
10080828;1-KJ 6-sta packing - The stop eggs;31.12.9999;PLPA
10080829;2-Island Packaging KJ 5;31.12.9999;PLPA
10080830;2-Island Packaging KJ 6;31.12.9999;PLPA
10080831;2-Kinder Joy cabinet line-electric;31.12.9999;PLPA
10080832;2-Island Packaging KJ 7;31.12.9999;PLPA
10080833;2-Kinder Joy cabinet line-electric;31.12.9999;PLPA
10080834;2-Island Packaging KJ 8;31.12.9999;PLPA
10080835;2-Island Packaging KJ 9;31.12.9999;PLPA
10080836;2-Kinder Joy 28-modules-electric cabinet;31.12.9999;PLPA
10080837;2-Island Packaging KJ 10;31.12.9999;PLPA
10080838;2-Kinder Joy line-feeder compacts;31.12.9999;PLPA
10080839;2-KJ 6-sta packing - Hay compacts;31.12.9999;PLPA
10080840;2-Kinder Joy cabinet line-electric;31.12.9999;PLPA
10080841;1-Touring robots packaging;31.12.9999;PLPA
10080842;2-Kinder Joy line-Robot - prelevatore;31.12.9999;PLPA
10080843;2-KJ-cartoning line-T24 Adriano;31.12.9999;PLPA
10080844;2-KJ-cartoning line socket buds. prod.T7;31.12.9999;PLPA
10080845;1-Kinder Joy-line vacuum;31.12.9999;PLPA
10080846;1-Kinder Joy-line vacuum;31.12.9999;PLPA
10080847;1-Kinder Joy-line vacuum;31.12.9999;PLPA
10080848;1-Printer;31.12.9999;PLPA
10080849;2-Kinder Joy line-printer;31.12.9999;PLPA
10080850;2-Kinder Joy line-printer;31.12.9999;PLPA
10080851;2-Kinder Joy line-printer;31.12.9999;PLPA
10080852;2-Kinder Joy line-printer;31.12.9999;PLPA
10080853;2-Kinder Joy line-printer;31.12.9999;PLPA
10080854;2-Kinder Joy line-printer;31.12.9999;PLPA
10080855;2-Kinder Joy 28-modules-printer;31.12.9999;PLPA
10080856;2-Kinder Joy 28-modules-printer;31.12.9999;PLPA
10080857;2-Kinder Joy 28-modules-printer;31.12.9999;PLPA
10080858;2-Kinder Joy 28-modules-printer;31.12.9999;PLPA
10080859;2-L.K. Merendero-Printer;31.12.9999;PLPA
10080860;2-L.K. Merendero-Printer;31.12.9999;PLPA
10080861;2-KJ 6-sta packing - Printer;31.12.9999;PLPA
10080862;2-KJ 6-sta packing - Printer;31.12.9999;PLPA
10080863;2-Kinder Joy Line (platform)-printer VJ;31.12.9999;PLPA
10080864;1-Kinder Joy-line palletizer;31.12.9999;PLPA
10080865;1-packing line ZL 600/2E NR489;31.12.9999;PLPA
10080866;1-Media;31.12.9999;PLPA
10080867;2-Kinder Joy line-KJ Hot Water;31.12.9999;PLPA
10080868;2-Kinder Joy line-KJ steam pressure;31.12.9999;PLPA
10080869;2-Kinder Joy line-KJ Power Supply;31.12.9999;PLPA
10080870;2-Kinder Joy Air line-KJ;31.12.9999;PLPA
10080871;2-Kinder Joy-1200 plastic line moduls (A;31.12.9999;PLPA
10080872;2-Kinder Joy-line vacuum pump;31.12.9999;PLPA
10080873;2-Kinder Joy-line vacuum pump;31.12.9999;PLPA
10080874;2-Kinder Joy cabinet line-electrical vac;31.12.9999;PLPA
10080875;2-Kinder Joy-line conveyor pallets / 2;31.12.9999;PLPA
10080876;2-Kinder Joy line-KJ Gas;31.12.9999;PLPA
10080877;1-Posasorprese-ks-set transporters (top,;31.12.9999;PLPA
10080878;2-Modellaggio-ks-kładacz surprises;31.12.9999;PLPA
10080879;2-Posasorprese-k.s-electric cabinet;31.12.9999;PLPA
10080880;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080881;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080882;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080883;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080884;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080885;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080886;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080887;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080888;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080889;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080890;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080891;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080892;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080893;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080894;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080895;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080896;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080897;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080898;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080899;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080900;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080901;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080902;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080903;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080904;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080905;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080906;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080907;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080908;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080909;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080910;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080911;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080912;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080913;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080914;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080915;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080916;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080917;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080918;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080919;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080920;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080921;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080922;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080923;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080924;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080925;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080926;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080927;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080928;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080929;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080930;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080931;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080932;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080933;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080934;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080935;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080936;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080937;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080938;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080939;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080940;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080941;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080942;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080943;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080944;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080945;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080946;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080947;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080948;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080949;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080950;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080951;1-Posasorprese-ks-dispensing machine sur;31.12.9999;PLPA
10080952;1-Modellaggio-ks-main drive chain;31.12.9999;PLPA
10080953;2-Modellaggio-ks-electric installation.;31.12.9999;PLPA
10080954;2-Szafa sterownicza 2;31.12.9999;PLPA
10080955;2-Oprog.InTouch 8.0 Runtime with 1/0 600;31.12.9999;PLPA
10080956;1-Modellaggio-ks-position exchange forms;31.12.9999;PLPA
10080957;1-Modellaggio-ks-sharpener (black chocol;31.12.9999;PLPA
10080958;2-Modellaggio-ks-heater forms;31.12.9999;PLPA
10080959;2-Modellaggio-ks-rotary fillers chocolat;31.12.9999;PLPA
10080960;2-Modellaggio-ks-tank of chocolate;31.12.9999;PLPA
10080961;2-Modellaggio-ks-tank of chocolate;31.12.9999;PLPA
10080962;2-Szafa sterownicza 3;31.12.9999;PLPA
10080963;2-Modellaggio-ks-Vibrator levels (by wei;31.12.9999;PLPA
10080964;2-Modellaggio-ks-Vibrator levels (by wei;31.12.9999;PLPA
10080965;2-Modellaggio-ks-refrigerated compartmen;31.12.9999;PLPA
10080966;2-Modellaggio-ks-Fan;31.12.9999;PLPA
10080967;1-Modellaggio-ks-vibrator sieve;31.12.9999;PLPA
10080968;1-Modellaggio-ks-sharpener small;31.12.9999;PLPA
10080969;1-Dekrystalizator SOLLICH;31.12.9999;PLPA
10080970;1-Heated spray system with controller (s;31.12.9999;PLPA
10080971;1-Modellaggio-ks-sharpener (cream);31.12.9999;PLPA
10080972;2-Modellaggio-ks-rotary fillers cream;31.12.9999;PLPA
10080973;2-Modellaggio-ks-tank cream;31.12.9999;PLPA
10080974;2-Modellaggio-ks-tank cream;31.12.9999;PLPA
10080975;2-Modellaggio-ks-tank cream;31.12.9999;PLPA
10080976;1-Modellaggio-ks-sharpener small;31.12.9999;PLPA
10080977;1-Dekrystalizator SOLLICH;31.12.9999;PLPA
10080978;1-Modellaggio-ks-vibrator sieve;31.12.9999;PLPA
10080979;1-Modellaggio-ks-Dekrystalizator;31.12.9999;PLPA
10080980;2-Modellaggio-ks-assembly vibrators weig;31.12.9999;PLPA
10080981;2-Modellaggio-ks-vertical vibrator (for;31.12.9999;PLPA
10080982;2-Modellaggio-ks-vertical vibrator (for;31.12.9999;PLPA
10080983;2-Modellaggio-ks-team refrigeration cham;31.12.9999;PLPA
10080984;2-Modellaggio-ks-Fan;31.12.9999;PLPA
10080985;2-Modellaggio-ks-Fan;31.12.9999;PLPA
10080986;2-Modellaggio-ks-Fan;31.12.9999;PLPA
10080987;1-Modellaggio-ks-Heaters;31.12.9999;PLPA
10080988;1-Modellaggio-ks-team close button forms;31.12.9999;PLPA
10080989;1-Modellaggio-ks-Heaters;31.12.9999;PLPA
10080990;1-Modellaggio-ks-roller pressing mold;31.12.9999;PLPA
10080991;1-Modellaggio-ks-opener forms;31.12.9999;PLPA
10080992;2-Modellaggio-ks-hammers to open forms;31.12.9999;PLPA
10080993;2-Air handling YORK dryer;31.12.9999;PLPA
10080994;2-Modellaggio-ks-large refrigerated;31.12.9999;PLPA
10080995;2-Modellaggio-ks-team refrigerant;31.12.9999;PLPA
10080996;2-Modellaggio-ks-band cold end;31.12.9999;PLPA
10080997;2-Modellaggio-ks-air dryer chamber of th;31.12.9999;PLPA
10080998;"1-Modellaggio-ks (relationship. X'98; X";31.12.9999;PLPA
10080999;2-Modellaggio-ks-structure of the mod. s;31.12.9999;PLPA
10081000;2-Modellaggio-ks-Hot Water;31.12.9999;PLPA
10081001;2-Modellaggio-ks-steam pressure;31.12.9999;PLPA
10081002;2-Modellaggio-ks-Power Supply;31.12.9999;PLPA
10081003;2-Modellaggio-ks-air;31.12.9999;PLPA
10081004;2-Modellaggio-ks-Installation of a vacuu;31.12.9999;PLPA
10081005;2-Modellaggio-ks-Robot to translate eggs;31.12.9999;PLPA
10081006;2-Modellaggio-ks-band carriers;31.12.9999;PLPA
10081007;1-Modellaggio-ks-string-band tensioner;31.12.9999;PLPA
10081008;1-The machine for emptying / cleaning of;31.12.9999;PLPA
10081009;1-Komplety form;31.12.9999;PLPA
10081010;2-Modellaggio-ks 2200 forms an egg;31.12.9999;PLPA
10081011;2-Modellaggio-ks-Set forms / jajk0 T.OO.;31.12.9999;PLPA
10081012;2-2200 * forms AGATHON Egg T00;31.12.9999;PLPA
10081013;"2-Form of Agathon molds """"Egg Type 00""""";31.12.9999;PLPA
10081014;1-Integrated compressors and glycol;31.12.9999;PLPA
10081015;2-Modellaggio-ks-Compressors 2;31.12.9999;PLPA
10081016;2-Modellaggio-ks-Compressors 3;31.12.9999;PLPA
10081017;2-Modellaggio-ks-Compressors 4;31.12.9999;PLPA
10081018;2-Modellaggio-ks-tank glycol;31.12.9999;PLPA
10081019;2-Modellaggio-ks-Housing cold;31.12.9999;PLPA
10081020;1-Printer;31.12.9999;PLPA
10081021;2-Modellaggio-ks-printer WILLETT 460 MK;31.12.9999;PLPA
10081022;2-Modellaggio-ks-printer WILLETT 460 MK;31.12.9999;PLPA
10081023;2-Modellaggio-ks-printer WILLETT 460 MK;31.12.9999;PLPA
10081024;1-Washers and other;31.12.9999;PLPA
10081025;2-Modellaggio-ks-cleaner forms / Colussi;31.12.9999;PLPA
10081026;2-Modellaggio-ks-cleaner forms / Hildebr;31.12.9999;PLPA
10081027;2-Transporter die from the modeler to th;31.12.9999;PLPA
10081028;2-MIXER nut pastes V-6, 5m3;31.12.9999;PLPA
10081029;2-Pneumatic pump for fat (code 254020);31.12.9999;PLPA
10081030;1-Incarto e confez.-line transp. eggs fr;31.12.9999;PLPA
10081031;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081032;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081033;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081034;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081035;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081036;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081037;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081038;2-Incarto e confez.-Robot to translate e;31.12.9999;PLPA
10081039;2-Incarto e confez.-Belt transporters;31.12.9999;PLPA
10081040;2-Incarto e confez.-Belt transporters;31.12.9999;PLPA
10081041;1-Auxiliaries;31.12.9999;PLPA
10081042;2-Incarto e confez.-vacuum pump;31.12.9999;PLPA
10081043;2-Incarto e confez.-Pump;31.12.9999;PLPA
10081044;2-Incarto e confez.-vacuum pump;31.12.9999;PLPA
10081045;2-Incarto e confez.-Foliarka pallets;31.12.9999;PLPA
10081046;1-Linia pakowania IFCR;31.12.9999;PLPA
10081047;2-Transporter płytkowy X180;31.12.9999;PLPA
10081048;1-Capri Cavi Fig.Cava 110g-packing;31.12.9999;PLPA
10081049;2-Modeler FC - fusing CONCEPT four quart;31.12.9999;PLPA
10081050;2-X-RAY EQUIPMENT EAGLE PACK 430;31.12.9999;PLPA
10081051;1-Capri Cavi Fig.Cava 110g-Transporter P;31.12.9999;PLPA
10081052;1-Capri Cavi Fig.Cava 110g-Labelling;31.12.9999;PLPA
10081053;1-L.K. Merendero-Transporter module dark;31.12.9999;PLPA
10081054;2-L.K. Merendero-Filler dark cream;31.12.9999;PLPA
10081055;2-L.K. Merendero-cooling tunnel;31.12.9999;PLPA
10081056;1-L.K. Merendero-Filler cream of white;31.12.9999;PLPA
10081057;1-L.K. Merendero-pusher tartufino;31.12.9999;PLPA
10081058;1-Welder Thermal diaphragm with bobbin S;31.12.9999;PLPA
10081059;1-TT1 box-drive rotary;31.12.9999;PLPA
10081060;1-TT1 box-setting device boxes / O;31.12.9999;PLPA
10081061;1-TT1 Setting device boxes / orientator;31.12.9999;PLPA
10081062;1-TT1 box-drive rotary caps;31.12.9999;PLPA
10081063;1-TT1 box-hopper with vertical transport;31.12.9999;PLPA
10081064;1-TT1 hopper with vertical conveyor;31.12.9999;PLPA
10081065;1-TT1 box-counting and dispensing machin;31.12.9999;PLPA
10081066;2-TT1 T-100 COMBO-Weight;31.12.9999;PLPA
10081067;2-TT1 box-Metal Detector;31.12.9999;PLPA
10081068;1-capper / Tappatrice semplificata;31.12.9999;PLPA
10081069;1-TT1-box cartoner;31.12.9999;PLPA
10081070;2-TT1 Tackarka / robot;31.12.9999;PLPA
10081071;2-TT1 box-foil roll machine;31.12.9999;PLPA
10081072;2-Transporter TT1 air Plate # 1;31.12.9999;PLPA
10081073;2-TT1 Transporter Plate 1 / before ethic;31.12.9999;PLPA
10081074;2-TT1 Transporter Plate No. 2 / before e;31.12.9999;PLPA
10081075;2-TT1 Transporter Plate No. 3 / before e;31.12.9999;PLPA
10081076;2-TT1 Transporter Plate No. 1 before Rob;31.12.9999;PLPA
10081077;2-Transporter TT1 Plate # 2 before Robot;31.12.9999;PLPA
10081078;2-TT1 Transporter Plate No. 3 before Rob;31.12.9999;PLPA
10081079;1-TT1-box forming machine compacts;31.12.9999;PLPA
10081080;2-TT1 box-Transporter for making cash.;31.12.9999;PLPA
10081081;2-TT1 box-Transporter Plate;31.12.9999;PLPA
10081082;2-TT1 box-Transporter;31.12.9999;PLPA
10081083;1-TT1 box-Transporter Plate;31.12.9999;PLPA
10081084;1-Form for TT1 (Anma);31.12.9999;PLPA
10081085;1-TT2 disk rotating the boxes;31.12.9999;PLPA
10081086;1-TT2 box-setting device boxes;31.12.9999;PLPA
10081087;1-TT2 Setting device plugs / orientator;31.12.9999;PLPA
10081088;1-TT2 drive rotary caps;31.12.9999;PLPA
10081089;1-TT2 box-hopper with vertical conveyor;31.12.9999;PLPA
10081090;1-TT2 hopper with vertical transporteren;31.12.9999;PLPA
